,A_i-1,A_i,evalA_i-1,evalA_i,B_i-1,B_i,evalB_i-1,evalB_i,C_i-1,C_i,evalC_i-1,evalC_i
0,?,?,?,?,?,?,1,0,?,?,?,?
1,?,?,?,?,?,?,0,0,?,?,?,?
2,?,?,?,?,?,?,0,1,?,?,?,?
3,?,?,?,?,?,?,1,0,?,?,?,?
4,?,?,?,?,?,?,0,1,?,?,?,?
5,?,?,?,?,?,?,1,0,?,?,?,?
6,?,?,?,?,?,?,0,0,?,?,?,?
7,?,?,?,?,?,?,0,1,?,?,?,?
8,?,?,?,?,?,?,1,1,?,?,?,?
9,?,?,?,?,?,?,1,1,?,?,?,?
10,?,?,?,?,?,?,1,0,?,?,?,?
11,?,?,?,?,?,?,0,1,?,?,?,?
12,?,?,?,?,?,?,1,0,?,?,?,?
13,?,?,?,?,?,?,0,1,?,?,?,?
14,?,?,?,?,?,?,1,1,?,?,?,?
15,?,?,?,?,?,?,1,1,?,?,?,?
16,?,?,?,?,?,?,1,0,?,?,?,?
17,?,?,?,?,?,?,0,0,?,?,?,?
18,?,?,?,?,?,?,0,1,?,?,?,?
19,?,?,?,?,?,?,1,1,?,?,?,?
20,?,?,?,?,?,?,1,1,?,?,?,?
21,?,?,?,?,?,?,1,1,?,?,?,?
22,?,?,?,?,?,?,1,1,?,?,?,?
23,?,?,?,?,?,?,1,?,?,?,?,0
24,?,?,?,?,?,?,?,?,?,?,0,0
25,?,?,?,?,?,?,?,?,?,?,0,0
26,?,?,?,?,?,?,?,?,?,?,0,0
27,?,?,?,?,?,?,?,?,?,?,0,1
28,?,?,?,?,?,?,0,0,?,?,?,?
29,?,?,?,?,?,?,0,0,?,?,?,?
30,?,?,?,?,?,?,0,0,?,?,?,?
31,?,?,?,?,?,?,0,0,?,?,?,?
32,?,?,0,1,?,?,?,?,?,?,?,?
33,?,?,1,0,?,?,?,?,?,?,?,?
34,?,?,0,1,?,?,?,?,?,?,?,?
35,?,?,1,1,?,?,?,?,?,?,?,?
36,?,?,1,?,?,?,?,?,?,?,?,0
37,?,?,?,?,?,?,?,?,?,?,0,0
38,?,?,?,?,?,?,?,?,?,?,0,0
39,?,?,?,?,?,?,?,?,?,?,0,0
40,?,?,?,?,?,?,?,?,?,?,0,1
41,?,?,?,?,?,?,?,0,?,?,1,?
42,?,?,?,?,?,?,0,0,?,?,?,?
43,?,?,?,?,?,?,0,1,?,?,?,?
44,?,?,?,?,?,?,1,1,?,?,?,?
45,?,?,?,?,?,?,1,0,?,?,?,?
46,?,?,?,?,?,?,0,0,?,?,?,?
47,?,?,?,?,?,?,0,0,?,?,?,?
48,?,?,?,?,?,?,0,1,?,?,?,?
49,?,?,?,?,?,?,1,1,?,?,?,?
50,?,?,?,?,?,?,1,0,?,?,?,?
51,?,?,?,0,?,?,0,?,?,?,?,?
52,?,?,0,0,?,?,?,?,?,?,?,?
53,?,?,0,0,?,?,?,?,?,?,?,?
54,?,?,0,0,?,?,?,?,?,?,?,?
55,?,?,0,1,?,?,?,?,?,?,?,?
56,?,?,?,?,?,?,1,0,?,?,?,?
57,?,?,?,?,?,?,0,0,?,?,?,?
58,?,?,?,?,?,?,0,1,?,?,?,?
59,?,?,?,?,?,?,1,1,?,?,?,?
60,?,?,?,?,?,?,1,?,?,?,?,0
61,?,?,?,?,?,?,?,?,?,?,0,0
62,?,?,?,?,?,?,?,?,?,?,0,1
63,?,?,?,?,?,?,?,?,?,?,1,0
64,?,?,?,?,?,?,?,?,?,?,0,0
65,?,?,?,?,?,?,0,1,?,?,?,?
66,?,?,?,?,?,?,1,0,?,?,?,?
67,?,?,?,?,?,?,0,0,?,?,?,?
68,?,?,?,?,?,?,0,0,?,?,?,?
69,?,?,?,?,?,?,0,0,?,?,?,?
70,?,?,?,?,?,?,0,1,?,?,?,?
71,?,?,?,?,?,?,1,1,?,?,?,?
72,?,?,?,?,?,?,1,1,?,?,?,?
73,?,?,?,?,?,?,1,1,?,?,?,?
74,?,?,?,1,?,?,1,?,?,?,?,?
75,?,?,1,1,?,?,?,?,?,?,?,?
76,?,?,1,1,?,?,?,?,?,?,?,?
77,?,?,1,0,?,?,?,?,?,?,?,?
78,?,?,0,1,?,?,?,?,?,?,?,?
79,?,?,1,?,?,?,?,1,?,?,?,?
80,?,?,?,?,?,?,1,0,?,?,?,?
81,?,?,?,?,?,?,0,1,?,?,?,?
82,?,?,?,?,?,?,1,1,?,?,?,?
83,?,?,?,?,?,?,1,0,?,?,?,?
84,?,?,?,?,?,?,?,?,?,?,0,0
85,?,?,?,?,?,?,?,?,?,?,0,1
86,?,?,?,?,?,?,?,?,?,?,1,1
87,?,?,?,?,?,?,?,?,?,?,1,0
88,?,?,?,?,?,?,?,1,?,?,0,?
